name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%
Sandalias Niña Havaianas  Rosado,20698017,HAVAIANAS,Calzado y zapatillas,Zapatos,Calzado Infantil,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20698017_1/w=800,h=800,fit=pad",47.92,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20698013/Sandalias-Nina-Havaianas-Rosado/20698017,19.999999999999996
Sandalias Doo Australia Negro Para Hombre,883236403,DOO AUSTRALIA,Calzado y zapatillas,Zapatos,Zapatos Hombre,1,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883236403_1/w=800,h=800,fit=pad",19.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883236399/Sandalias-Doo-Australia-Negro-Para-Hombre/883236403,66.79465776293823
Calzón De Bikini Mujer Womens Secret,20546965,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20546965_1/w=800,h=800,fit=pad",59.89,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20546964/Calzon-De-Bikini-Mujer-Womens-Secret/20546965,40.050050050050054
Sandalias Niña Doo Australia Flipgirl,883237056,DOO AUSTRALIA,Calzado y zapatillas,Zapatos,Calzado Infantil,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883237056_1/w=800,h=800,fit=pad",11.9,29.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883237052/Sandalias-Nina-Doo-Australia-Flipgirl/883237056,60.200668896321076
Sandalias Mujer  Fiji Blue,20733381,BILLABONG,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20733381_1/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20733378/Sandalias-Mujer-Fiji-Blue/20733381,20.000000000000004
Calzón De Bikini Mujer Womens Secret,20547053,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547053_1/w=800,h=800,fit=pad",59.89,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547052/Calzon-De-Bikini-Mujer-Womens-Secret/20547053,40.050050050050054
Bikini Mujer Denimlab,883163237,DENIMLAB,Moda y accesorios,Mujer,Moda Mujer,3,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883163237_1/w=800,h=800,fit=pad",59.89,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883163235/Bikini-Mujer-Denimlab/883163237,50.05004170141785
Bikini Mujer Denimlab,883163201,DENIMLAB,Moda y accesorios,Mujer,Moda Mujer,3,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883163201_1/w=800,h=800,fit=pad",59.89,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883163197/Bikini-Mujer-Denimlab/883163201,50.05004170141785
Top De Bikini Mujer Womens Secret,20547058,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547058_1/w=800,h=800,fit=pad",79.9,149.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547057/Top-De-Bikini-Mujer-Womens-Secret/20547058,46.6977985323549
Top De Bikini Mujer Womens Secret,20547170,WOMEN SECRET,Moda y accesorios,Mujer,Moda Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20547170_1/w=800,h=800,fit=pad",79.9,149.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20547167/Top-De-Bikini-Mujer-Womens-Secret/20547170,46.6977985323549
